"","business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category","riskCatScore"
"46784",3070,"FLOWER MARKET CAFE","698 BRANNAN St","San Francisco","CA","94107",37.775664,-122.399999,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.399999', 'latitude': '37.775664'}",14155497162,"3070_20190110","2019-01-10T00:00:00",77,"Routine - Unscheduled","3070_20190110_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk",2
"46789",71657,"Bussaba","534 IRVING St","San Francisco","CA","94122",37.764188,-122.463683,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.463683', 'latitude': '37.764188'}",14155374505,"71657_20171010","2017-10-10T00:00:00",70,"Routine - Unscheduled","71657_20171010_103132","Improper thawing methods","Moderate Risk",2
"46792",628,"EL BURRITO EXPRESS #2","1812 DIVISADERO St","San Francisco","CA","94115",37.786407,-122.440057,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.440057', 'latitude': '37.786407'}",14155774246,"628_20190109","2019-01-09T00:00:00",79,"Routine - Unscheduled","628_20190109_103161","Low risk vermin infestation","Low Risk",1
"46801",1931,"YUMMY YUMMY VIETNAMESE RESTAURANT","1015 IRVING St","San Francisco","CA","94122",37.763913,-122.468809,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.468809', 'latitude': '37.763913'}",14155564722,"1931_20190107","2019-01-07T00:00:00",79,"Routine - Unscheduled","1931_20190107_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk",2
"46805",1931,"YUMMY YUMMY VIETNAMESE RESTAURANT","1015 IRVING St","San Francisco","CA","94122",37.763913,-122.468809,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.468809', 'latitude': '37.763913'}",14155564722,"1931_20190107","2019-01-07T00:00:00",79,"Routine - Unscheduled","1931_20190107_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"46812",2684,"ERIC'S RESTAURANT","1500 Church St","San Francisco","CA","94131",37.746759,-122.426995,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426995', 'latitude': '37.746759'}",14155280919,"2684_20190107","2019-01-07T00:00:00",84,"Routine - Unscheduled","2684_20190107_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"46814",71657,"Bussaba","534 IRVING St","San Francisco","CA","94122",37.764188,-122.463683,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.463683', 'latitude': '37.764188'}",14155374505,"71657_20171010","2017-10-10T00:00:00",70,"Routine - Unscheduled","71657_20171010_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk",2
"46825",5948,"THE BRANDEIS SCHOOL OF SAN FRANCISCO","655 BROTHERHOOD Way","San Francisco","CA","94132",37.713935,-122.475282,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.475282', 'latitude': '37.713935'}",14155401035,"5948_20160413","2016-04-13T00:00:00",91,"Routine - Unscheduled","5948_20160413_103103","High risk food holding temperature","High Risk",3
"46831",1352,"LA TORTILLA","495 Castro St B","San Francisco","CA","94114",37.760954,-122.434935,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.434935', 'latitude': '37.760954'}",14155863990,"1352_20190115","2019-01-15T00:00:00",86,"Routine - Unscheduled","1352_20190115_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"46843",2684,"ERIC'S RESTAURANT","1500 Church St","San Francisco","CA","94131",37.746759,-122.426995,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426995', 'latitude': '37.746759'}",14155280919,"2684_20190107","2019-01-07T00:00:00",84,"Routine - Unscheduled","2684_20190107_103116","Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",2
"46846",9710,"RICKSHAW STOP","155 FELL ST","San Francisco","CA","94102",37.776223,-122.420497,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.420497', 'latitude': '37.776223'}",14150286135,"9710_20190115","2019-01-15T00:00:00",96,"Routine - Unscheduled","9710_20190115_103138","Improper storage use or identification of toxic substances","Low Risk",1
"46849",8202,"Xiao Loong","250 WEST PORTAL AVENUE","San Francisco","CA","",37.738616,-122.468775,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.468775', 'latitude': '37.738616'}",14155272647,"8202_20190109","2019-01-09T00:00:00",84,"Routine - Unscheduled","8202_20190109_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
